id,first_name,last_name,age,email,occupation,political_views,nationality,university,academic_degree,address,postal_code,country,city
b07102b8-5373-4d03-8eae-d68b3cc407e0,Kermit,Reynolds,63,epical1905@yandex.com,Warden,Socialist,Estonian,University of Massachusetts Boston (UMass Boston),None,865 Brotherhood Mall,85875,Luxembourg,Bradenton
860c16c2-a66f-4dca-8060-89396a5c41c1,Madlyn,Nunez,43,bazooka1835@live.com,Wood Worker,Socialist,Jordanian,University of California  Santa Barbara (UC Santa Barbara),None,1310 Northridge Path,85875,Moldova,Gulfport
fec91c68-5577-4979-b522-6804a0efd371,Towanda,Griffin,38,algerine1969@gmail.com,Ironmonger,Liberal,Iranian,University of California  Riverside (UC Riverside),None,922 Terrace Grove,85875,Antarctica,Carpentersville
09f7f81c-e8c3-4fb7-98cb-70f04d1df9b4,Dyan,Mcconnell,36,abroad1911@yahoo.com,Aircraft Maintenance Engineer,Socialist,Uruguayan,Georgia Institute of Technology (Georgia Tech),None,1274 Rodgers Townline,85875,Belgium,Goodlettsville
010b4fa3-cf0b-4cf5-9f95-aab959ac4c8c,Cristin,Ross,51,qualm1898@live.com,Chauffeur,Libertarian,Polish,University of California  San Diego (UC San Diego),None,1219 Ringold Pike,85875,St. Lucia,Albany
63196395-e25f-4f07-b35e-5dd0f9abc034,Jessia,Moody,17,antdom1987@yandex.com,Pipe Layer,Conservative,Finnish,Western Connecticut State University (WCSU),None,640 Louisiana Extension,85875,Equatorial Guinea,Webster Groves
8d89aed0-9585-4db1-a8ee-e314ef62677d,Jeromy,Gill,37,gingiva1969@yahoo.com,Purchase Ledger Clerk,Anarchism,Chinese,Augusta University,None,862 Dr Tom Waddell Private,85875,Martinique,Geneva
75c0ad55-12ad-4730-b8ae-8629ac1856dc,Gaston,Short,16,palmetto2059@yandex.com,Spring Maker,Moderate,Argentinian,California State University  Dominguez Hills (CSUDH),Master,1309 Woodacre Plaza,85875,Moldova,Maryland Heights
91cbe377-1235-44fe-970d-95c873ba73f5,Chi,Berg,33,pirogue1898@yahoo.com,Bodyguard,Anarchism,Jordanian,Gordon State College,None,1327 Leona Plaza,85875,Fiji,Oregon City
268b931b-13a2-4b22-9553-4bd59952418c,Curtis,Shaw,62,prostitute1845@outlook.com,Tug Skipper,Communist,Russian,Florida International University (FIU),None,999 Plaza Green,23299,Panama,Florissant
8a2ed82b-33c3-4a35-bc54-4644d9373c5b,Keeley,Buckner,52,clubs2014@yandex.com,Sales Administrator,Communist,Israeli,University of Kentucky (Kentucky or UK),None,650 Dalewood Terrace,23299,Bahamas,Brownsburg
8276e6dd-f394-4b56-a503-e01829a6a2e3,Elroy,Chaney,49,bactrian1930@live.com,Gynaecologist,Moderate,Latvian,New College of Florida,None,166 Samoset Pike,23299,Ukraine,Harrisburg
59acfc2a-d7ae-4ff0-8a49-2849dc39bdb8,Wilber,O'donnell,49,exordia1990@yandex.com,Legal Secretary,Apathetic,Italian,Florida Gulf Coast University (FGCU),None,5 Mars Court,23299,Belgium,Palm Springs
96864ad8-b701-4b54-9ad0-f1f1b97204ad,Sherilyn,Harding,62,blacky1838@yandex.com,Transport Officer,Apathetic,Swiss,Georgia Gwinnett College,Master,517 Hilton Boulevard,23299,Barbados,Paris
f41cf5df-3230-4560-802f-09b9c4c91447,Corliss,Sanchez,31,aitch2042@outlook.com,Hire Car Driver,Libertarian,Bolivian,University of Kentucky (Kentucky or UK),None,60 Starview Promenade,23299,Bulgaria,Haines City
e6527dfb-86c5-478a-83c9-9335d018fcb5,Loyd,Mcdaniel,58,arrays2011@live.com,Caulker,Socialist,Cambodian,Columbus State University,None,571 Rey Grove,23299,Bosnia & Herzegovina,Peoria
15fcc45f-92a1-4c65-80f9-f3d1864b04ec,Cythia,Adkins,54,arrays1840@outlook.com,Systems Manager,Conservative,Israeli,Columbus State University,None,1378 Mateo Lane,23299,Uganda,Shakopee
9efa23de-8cbd-4e98-919d-d928731fd9ef,Hermila,Mcdaniel,25,bitumen1848@outlook.com,Lawyer,Moderate,Jordanian,Georgia Institute of Technology (Georgia Tech),None,1396 Cassandra Concession road,81666,Andorra,Las Cruces
936486d9-e3b0-4369-a504-6c5a74f6a0ad,Theodore,Glover,63,flattop1813@yahoo.com,Trinity House Pilot,Anarchism,Italian,University of California  Davis (UC Davis),None,984 Hillview Mews,81666,Hong Kong SAR China,Cedar Hill
40f1dd9d-b712-4a96-97ce-80b543668f5f,Jene,Lewis,54,benni2007@yahoo.com,Plumber,Apathetic,Latvian,University of Florida (UF),Bachelor,321 Valencia Parkway,81666,United States,San Leandro
fb7e02b1-0d1e-4b08-8aca-4838ea4fe060,Hilton,Casey,50,bronk1994@live.com,Magistrate,Moderate,Ethiopian,University of Florida (UF),None,145 Walbridge Loop,81666,Syria,Long Branch
